Num,target,statement
103,Neutral,"Share This Article Related Article Lok Sabha passes Finance Bill, rejects all amendments proposed by Rajya SabhaLok Sabha passes Finance Bill, rejects all amendments proposed by Rajya Sabha Parliament made irrelevant: OppositionParliament made irrelevant: Opposition Government opposes Jairam's plea against Aadhaar bill as money billGovernment opposes Jairam's plea against Aadhaar bill as money bill Explained: What is Money Bill and Financial BillExplained: What is Money Bill and Financial Bill BJP, Opposition set for big Aadhaar fight todayBJP, Opposition set for big Aadhaar fight today Aadhaar bill introduced in Lok SabhaParticipating in the debate in Rajya Sabha, Congress MP Jairam Ramesh, the author of all amendments passed by the Upper House, conceded he was probably indulging in a futile exercise but said it was his, and his partys duty to suggest changes that he considered necessary to improve the Bill."
104,Pro,Another amendment sought to restrict the use of Aadhaar numbers only for targeting of government benefits or service and not for any other purpose.
105,Neutral,"They find us to be the most ideological, most consistent and organised opponents."
106,Neutral,Sources characterised the meeting as a courtesy call.
107,Neutral,"Grade = F, Mr. Gandhi tweeted."
108,Neutral,WATCH VIDEO: Cauvery Water Dispute: Why Karnataka & Tamil Nadu Have Failed To Find SolutionsWe are yet to receive a copy of the Supreme Court order.
109,Anti,"In Khandwa district, a 55-year old farmer Jaipal Singh consumed pesticide on Friday."
110,Pro,"Saying that the strike was a direct affirmation of the Kisan Virodhi policies of the Modi government, a statement by Congress spokesperson Randeep Singh Surjewala said the MP State government was trying to suppress the protests by using illegal means."
111,Pro,Reports said farmers put up barricades to prevent supply of vegetables and milk entering cities.
112,Neutral,"Eligible farmers from Jalandhar, Kapurthala, Ludhiana, Fazilka and Ferozepur districts were given the certificates."
113,Pro,"He hit out at Union Minister Harsimrat Kaur Badal, accusing her of failing to protect the interest of Punjab farmers despite being a part of the Centre."
114,Neutral,The House was adjourned for thirty minutes.
115,Neutral,Capt.
116,Neutral,"Medical collegeResponding to the demand raised by Gurdaspur MP and Punjab Pradesh Congress Committee chief Sunil Jakhar, Capt."
117,Pro,"This was the highest in the country, Capt."
118,Neutral,Punjab Chief Minister Captain Amarinder Singh on Saturday dismissed allegations levelled by Shiromani Akali Dal (SAD) president Sukhbir Singh Badal that he was trying to pass the buck on farm loan waiverCapt.
119,Anti,"PTICongress leaders on Sunday termed Union Agriculture Minister Radha Mohan Singhs remark on the ongoing farmers strike, or gaon bandh, as insensitive and full of arrogance."
120,Anti,"Terming the remark extremely shocking and shameful, Capt."
121,Neutral,"In addition, irrigation potential of another 1 lakh hectare will be utilised through the completion of Waghur, Bavanthadi, Lower Dudhna, Lower Wardha, Lower Panjhara Tillari and Nandur Madhveshwar Phase II dam projects."
122,Pro,"The additional tax for crop compensation, crop insurance and integrated watershed management was levied in October 2015 after severe agrarian crisis in several parts of the state."
123,Pro,"Water Resources Minister Girish Mahajan had submitted the proposal for Rs 15,000 crore."
124,Pro,"The MSP was arrived on the basis of an improper formula and, therefore, farmers will not get correct prices for their produce or labour, he added."
125,Neutral,These projects will change the face of Jaipur.
126,Pro,"Earlier, the president and his wife arrived in a special aircraft of the Indian Air Force (IAF) at the Sanganer airport and was received by the governor and chief minister."
127,Pro,"JAIPUR: Rajasthan chief minister Vasundhara Raje on Thursday said it was first time in the history of the state that a government has waived farm loans of up to Rs 50,000."
128,Pro,"We have procured crops of Rs 8,900 crore at the minimum support price (MSP) and will disburse Rs 80,000 crore worth interest-free crop loans to the farmer by the end of this year, which will be highest in the country, she said."
129,Pro,"Prior to this, Chouhan inaugurated Dharnidhar Bhawan at Dharnidhar garden in Rangbadi area of Kota city."
130,Pro,"Moreover, Rajasthan is now a Lagaan-free state, she added."
131,Pro,P V M Reddy (YSR Congress) suggested that the government should fix reasonable minimum support price (MSP) for farm products.
132,Pro,"We wonder if Modi sees him (Singh) as a poster boy for his proclamation 'sabka saath, sabka vikas', he said."
133,Neutral,"According to the Punjab police, farmers allegedly forced the closure of vegetable mandi in Ferozpur and in Bathinda, farmers owing allegiance to Bhartiya Kisan Union stopped some vehicles carrying milk."
134,Pro,"The state government needs to design farmer-friendly policies, he said."
135,Pro,Who is playing with the lives of farmers when the agriculture minister says that the Centre has received no request for help for farmers?
136,Neutral,"We must not allow our youth to fall prey to drugs at any cost, he added."
137,Neutral,"Corruption and Congress are two sides of a single coin, he said adding that the only policy of he Congress is to divide and rule."
138,Neutral,The SAD leader sought punishment for those responsible for 1984 riots.
139,Neutral,The CM demanded Radha Mohan Singhs resignation saying that he did not connect with the farmers woes.
140,Pro,"The farmers are suffering as a result of the central governments failure to waive their debts, which many state governments, including Punjab , have repeatedly sought, he said."
141,Pro,The chief minister also demanded that the farmers be paid the due price for their produce and in toto implementation of the Swaminathan Commission report.
142,Pro,All the legislators and leaders will be meeting in Nagpur on March 28.
143,Pro,"Ashok Chavan, Maharashtra Congress president, said the state has been conveniently ignoring farmers suicides and other issues related to farmers despite raising them repeatedly."
144,Neutral,"Stung by this, Congress said that the party was unaware of the decision taken at the local level by legislator Gopaldas Agrawal and action will be taken against him following a probe."
145,Neutral,"The Congress has planned a march on Tuesday, the second day of the session, to protest against the governments inaction on farmer suicides, increasing agrarian distress and other issues."
146,Neutral,"State education and cultural affairs minister Tawde, whose mill has an outstanding of Rs 16.11 crore, said he was not involved in day-to-day affairs of the mill."
147,Pro,"We have been raising the issue of loan waiver from Day one and now its time to take it to people, as the government only wants to road roll on our demands and ignore the concerns of farmers, Ashok Chavan, state president of Congress told HT, after a joint meeting of Opposition leaders."
148,Pro,"Ashok Chavan, Congress state unit chief, called the BJP-led government worse than the Nizam rule."
149,Neutral,"Meanwhile, outside the House, while the NCP workers staged protests in Mumbai, Nashik and some other parts of the state, the partys high command has decided not to make this a prestige issue."
150,Neutral,"Hinting at the rapport between Prime Minister Narendra Modi and Fadnavis, Pawar wondered how difficult it could be to extract funds from the Centre for the farmers."
151,Neutral,Pawar also asked how the state government intended to address the issue of restructuring of loans and what measures were being taken to address the crisis in dairy and sugarcane sectors.
152,Anti,NCP president Sharad Pawar Thursday agreed with Chief Minister Devendra Fadnavis that a loan waiver cannot be a long-term solution to the agrarian crisis in the state.
153,Neutral,His observation is in contrast with its alliance partner Congress demand for a complete loan waiver.
154,Neutral,This is perhaps because of the exigency of repeated sowing or poor harvest prospects due to scanty or heavy rains.
155,Neutral,I have been criticised on this but I am of the view that farming has become unviable due to land under agriculture shrinking and the number of people dependent on it growing.
156,Pro,"waive loans of farmers also, Rahul said in Gorakhpur."
157,Pro,At no stage was the government willing to makes any changes to what had been spelled out in the ordinances.
158,Pro,These have been the two main demands of the farmers who are on a 10-day statewide strike.
159,Neutral,"Our Indian shops are full of Chinese goods, he (Modi) wears a Chinese watch, he sits in the swing with the Chinese president in Gujarat and then China attacks India at Doklam and Modi says nothing."
160,Neutral,"Rahul stressed on maximum attendance of Lok Sabha MPs at a time when the party, reduced to just 44 MPs in the lower House, is struggling to remain the principal Opposition party with AIADMK (37 MPs), TMC (34)and BJD (20)."
161,Pro,"2.48pm: The food we eat is all due to the efforts of our farmers and their families, not rich businessmen."
162,Pro,"Which is why farmers are our priority, says Rahul Gandhi."
163,Pro,"The UPA government forgave Rs 70,000 crore worth of loans."
164,Pro,Farmers will be able to sell their produce directly to factories.
165,Neutral,But I will do what I say.
166,Pro,2.34pm: Narendra Modi has betrayed farmers.
167,Pro,"The families of the farmers (who were killed in Mandsaur last year) will get justice in 10 days and we will take action against those responsible for the firing, says the Congress president."
168,Neutral,"In what is being viewed as a groundwork for next years parliamentary elections, Congress president Rahul Gandhi reached out to women, youth and farmers at Nanded in Maharashtras Chandrapur district on Wednesday."
169,Pro,"It will do nothing for poor farmers, he added."
170,Neutral,"Chief minister Devendra Fadnavis sanctioned Rs 2.5 lakh for his medical treatment, but the farmer had already passed away at a private hospital in Gadchirolis Chandgaon village by then."
171,Pro,"The Congress government, on the other hand, had waived over Rs 70,000 crore in farm loans across the country, he added."
172,Pro,"The Congress, if voted to power in 2019, will provide on both counts, he said."
173,Neutral,"In his first public appearance after a 53-day sabbatical, Congress vice-president Rahul Gandhi on Saturday vowed to lead a decisive fight against the governments land acquisition law, but his party ran into a controversy amid reports it was offering free liquor to drum up support for a Delhi rally."
174,Neutral,"Dubbing Prime Minister Narendra Modi as one man who knows everything, Congress vice-president Rahul Gandhi on Thursday said that the PM had to attend his predecessors pathshala as he could not understand how the economy functions."
175,Pro,"After the hailstorm and heavy rains, farmers of northern India are in distress."
176,Neutral,"Through the Gujarat model, Modi ji showed that he can snatch the land of farmers quite easily and convinced the industrialists that he can do the same in the whole country."
177,Neutral,"His party, however, ran into a controversy amid reports it was offering free liquor to drum up support for a Delhi rally."
178,Pro,"During the meeting, which is the first time that Gandhi met Modi on any issue, they also submitted a memorandum on the subject."
179,Neutral,This is the second time that the Opposition leaders are meeting the President over the notes ban move.
180,Neutral,"Congress president Rahul Gandhi on Thursday said Prime Minister Narendra Modis attacks aimed at him will not pay off because the Karnataka assembly elections was a battle of ideologies, not personalities."
181,Neutral,It wont benefit him.
182,Pro,"But he did none of this, he said."
183,Neutral,4.46pm: Sonia questions PM Modi on his promise of ending corruption and asks what happened to Lokpal.
184,Neutral,Gandhi is back on the campaign trail for the party after a two-year absence.
185,Neutral,4.24pm: Rahul Gandhi says the Congress government in Karnataka has delivered what it promised.
186,Pro,4.17pm: The Congress president says that Modis government has not contributed a single rupee towards the farm loan waiver in Karnataka.
187,Neutral,"4.14pm: Gandhi says, On one hand they (BJP) garland Ambedkars statue and on the other hand they visit Dalit homes and eat restaurant food."
188,Neutral,"Money goes from your pocket to Nirav Modis and out of the country, he says."
189,Neutral,"Our government in Karnataka has done what Modi government couldnt, says the Congress president."
190,Neutral,2.46pm: Basavanna preached equality.
191,Neutral,"They have worked to remove human suffering, he says."
192,Neutral,"The party that talks about honesty, decency has a person whos been accused of murder as president, ANI reports Rahul Gandhi saying in Bengaluru."
193,Neutral,"11.30am: Rahul Gandhi says yes, why not on being asked if he can be the prime minister in 2019 if the Congress emerges as the single largest party, ANI reports."
194,Pro,"In his first public appearance after a 53-day sabbatical, Congress vice-president Rahul Gandhi on Saturday vowed to lead a decisive fight against the governments land acquisition law, but his party ran into a controversy amid reports it was offering free liquor to drum up support for a Delhi rally."
195,Neutral,I will fight along with youholding your hands.
196,Pro,Our vote bank is the poor people of UP.
197,Neutral,There is no other way.
198,Pro,There are incentives for farmers who repaid loans in time.
199,Neutral,Petrol prices will go up by Rs 1.14 per litre and diesel by Rs 1.12 per litre.
200,Neutral,"I also propose to increase excise duty on Indian made foreign liquor by 4 per cent to raise additional revenue for meeting the budget expenditure, said Mr Kumaraswamy."
201,Neutral,Mr Kumaraswamy's budget has retained all the welfare schemes of the previous Congress government -- including rice at Rs 1 a kg to the poor and Indira Canteens that serve low-cost meals.
202,Neutral,"Admitting that about 85 lakh farmers across the southern state were in debt for raising bank loans, he said they were in distress due to recurring droughts and crop failures over the years."
203,Pro,"As the newly-formed coalition government has to fulfil many aspirations of the people, we need the Centre's support in our endeavour despite the ruling parties having different political ideologies, said Mr Kumaraswamy."
204,Pro,"Noting that water was becoming a scarce resource that would limit growth in the farm and other sectors, the Chief Minister said the state government had taken initiatives to rejuvenate lakes and charge water bodies."
205,Pro,"In the run-up to the elections, his party had promised to effect a complete loan waiver within 24hours of coming to power."
206,Anti,"He said it is because he is in a coalition government, but he wouldn't go back on his promise of completely waiving all the loans, said Kodihalli Chandrashekhar, the chief of KRRS, a farmers' body."
207,Pro,"to make Karnataka a beacon of hope for farmers all across India, he said."
208,Neutral,"Until then, no one can do anything to me, he said."
209,Pro,I want to ensure it is done scientifically benefiting maximum number of farmers.
210,Neutral,"In its state budget on July 5, Janata Dal (Secular)-Congress coalition government had announced a loan waiver of Rs 34,000 crore, which jumped to Rs 40,000 crore after the state last week decided to waive all crop loans of Rs 1 lakh in cooperative banks availed till July 10, 2018."
211,Pro,"To ensure farmers get credit at lower rate, the chief minister said that the government should raise the subsidy from 2 per cent to 3 per cent on crop loans for cooperatives."
212,Neutral,"Noting that an unstable government was a clear sign of failed attempts to diffuse the crisis, Mr Yeddyurappa said as a responsible opposition, the BJP would stand by the people and expose the corruption of the coalition government."
213,Anti,The loan waiver will affect government-owned and cooperative banks.
214,Neutral,"To offset the impact, Nagpur Municipal Corporations (NMC) transport department has decided to deploy as many buses as possible on the roads."
215,Pro,"Hallabol politics of NCP would be settled by exposing Dalla-mar (misappropriation) by the Congress-NCP regime, Fadnavis had remarked on the session eve."
216,Neutral,"You are already under great stress, and the government is not listening to you."
217,Pro,MUMBAI: After his controversial remarks on reservations NCP chief Sharad Pawar on Tuesday demanded quotas for farmers to tackle the agrarian crisis and halt the sudden spurt in suicides.
218,Pro,"Farmers belonging to Schedule Castes, Schedule Tribes will continue to get reservations in accordance with constitutional provisions."
219,Pro,Constitutionally guaranteed reservation will not be disturbed.
220,Neutral,The banks have been asked to treat it as lost assets.
221,Pro,(Anshuman Poyrekar/HT photo)The situation is even more desperate than usual.
222,Neutral,"We have also asked for all the deposits to be withdrawn, said Deshmukh."
223,Pro,"Crippled with debts, farmers could not repay the crop loans this season owing to crop failure and are apprehensive that they would not get fresh loans in the ensuing kharif season."
224,Pro,This finding came to light after a review meeting of bankers held by the state-sponsored Vasantrao Naik Sheti Swavalambi Mission in Pune.
225,Pro,The cotton growers in the region have suffered because of paucity of rain and later the untimely rain.
226,Pro,The cause for concern is not only the high suicide rate but the entire agrarian crisis.
227,Pro,"Only 80,000 of four lakh farmers got crop loans this kharif season under the governments restructured crop loan scheme."
228,Neutral,"In 2013, more than 3,000 farmers in the state ended their lives, according to records, but people in the know claim the NCRB does not reflect ground realities."
229,Pro,"Apart from waiving their loans, a long-term plan to deal with this crisis should be made."
230,Neutral,They belonged to the cotton-producing belt of western Vidarbha.
231,Neutral,The figure for last month was 78.
232,Pro,"The farmers in the region are depressed and distressed as there were no rains in the area since June 18, and the crops that they sowed dried up."
233,Pro,The cause for concern is not just the suicide rate but the entire agrarian situation.
234,Neutral,"While campaigning for the assembly elections in October last year, the BJP government, currently in power in the state, had targeted the previous Congress-NCP regime for its failure to prevent farmer suicides."
235,Neutral,"Smaller plots are more expensive to cultivate and small farmers have higher consumption patterns, according to economists."
236,Neutral,"However, as many as 14 farmers of the village ended their lives because of crop failures and debts."
237,Neutral,Yavatmal reports the highest number of farmer suicides in the country.
238,Neutral,The State police too have said that they would not allow disruption of any services on Monday.
239,Neutral,"In a flip-flop on the proposed Karnataka bandh, N. Ravi Kumar, general secretary, BJP, on Sunday, called on farmers and the public to observe a bandh voluntarily on Monday."
240,Neutral,The BJP too has also excluded Bengaluru from the bandh call.
241,Pro,"We have taken opinion of scientific community and considered interest of farming community in allowing their use, he said."
242,Neutral,"Next year, 2.99 per cent of the 43,488 samples collected were found sub-standard while in 2009-10 3.1 per cent of 54,661 samples collected were found in that category, he said."
243,Pro,"Karnataka Chief Minister H.D. Kumaraswamy, his deputy G. Parameshwara and Chief Secretary Ratnaprabha (left) during a meeting with the farmers on the issue of loan waiver, in Bangalore on Wednesday."
244,Pro,.
245,Neutral,"The meeting was attended by Parameshwara, deputy leader of opposition in the Assembly Govinda Karajola (BJP), and senior officials of the state government."
246,Neutral,H.D. Kumaraswamy.
247,Neutral,.
248,Neutral,"The SAD-BJP leaders including Sukhbir, Sampla, Bikram Singh Majithia, Gulzar Singh Ranike, Parminder Singh Dhindsa, Sharanjit Singh Dhillon, Dr Daljit Singh Cheema, Anil Joshi, K D Bhandari, N K Sharma and Pawan Kumar Tinu were detained by the Chandigarh police while marching towards the Punjab assembly."
249,Pro,He added that Rahul Gandhis elevation would have a positive impact on the polls.
250,Neutral,He flayed attempts to politicize the case with unsubstantiated charges.
251,Neutral,"It was settled between the company and the OBC, and was recorded by DRT Lucknow by way of a consent order dated March 16, 2015, he added."
252,Anti,"It is evident that the issue is being deliberately politicized, with the farming community also being unnecessarily dragged into the whole affair."
253,Neutral,"Even a cursory check of the case background would have revealed that Gurpal had no role in the entire affair, he added."
254,Neutral,"Political parties, including the BJP , were targeting Gurpal only because of the OBC directors personal relationship with him, said Amarinder, accusing his rivals of making baseless allegations without bothering to verify the facts, only to secure political mileage."
255,Neutral,"The family told the police that Joginder went to meet his daughter in a Doraha village and after returning from there, he told his grandson that he has consumed poison."
256,Pro,"The move was aimed at saving groundwater while ensuring that farmers also get an incentive in the form of cash for their personal use, he said."
257,Pro,The CM demanded Radha Mohan Singhs resignation saying that he did not connect with the farmers woes.
258,Pro,"The farmers are suffering as a result of the central governments failure to waive their debts, which many state governments, including Punjab , have repeatedly sought, he said."
