Entity	Source	By-Statement
Amarinder Singh	Telegraph	A minister who does not connect with the woes of the farmers had no business holding the portfolio , Amarindersingh said in a statement released in Chandigarh on Sunday .
Amarinder Singh	Telegraph	The farmers are suffering as a result of the central government 's failure to waive their debts , which many state governments , including Punjab , have sought , Amarindersingh said .
Amarinder Singh	TOI	Chandigarh : trashing the union as a Jumla , Punjab chief minister PERSON on Friday said it was a hogwash , which had nothing for farmers and youths but would burden the common man .
Amarinder Singh	TOI	Punjab chief minister Amarindersingh said the project would help in addressing the problem of the environmental pollution due to stubble burning besides providing additional income to farmers by helping turn the unmanageable Agro-Waste into raw material for producing bio fuel .
Amarinder Singh	TOI	Flanked by Punjab Pradesh Congress committee president and MP Sunil Jakhar and local bodies minister PERSON Sidhu , Amarindersingh said the process of farm loan waiver would begin after the elections and distribution of smart phones would also begin soon .
Amarinder Singh	TOI	The decision was also evaluated by the J-Pal South Asia and the World Bank following the announcement of the project , chief minister PERSON had claimed that the project would encourage farmers to save power and water and would also help in crop diversification and result in accurate energy accounting and curbing wasteful consumption .
Amarinder Singh	TOI	Various studies undertaken to understand the extent of farm debt in Punjab had found that farm labourers were one of the most Badly-Hit class and should be considered for suitable relief in any loan waiver scheme , Amarindersingh said and criticised opposition parties and some PERSON unions for spreading false propaganda on the issues faced by farmers .
Amarinder Singh	TOI	Capt Amarindersingh , who met Congress president PERSON earlier in the day , said prime minister Narendra Modis allegations on the Punjab governments loan waiver scheme were completely incorrect .
Amarinder Singh	TOI	Chandigarh : chief minister PERSON on Wednesday announced waiver of the state governments 50 share in the goods and services tax ( GST ) on community kitchen ( Langar ) at Golden Temple , PERSON temple , PERSON Valmiki Tirath and key shrines of the other communities .
Amarinder Singh	TOI	On a clarification sought by Bjps Som Prakash , Amarindersingh said there would be similar waiver on the GST on Langar or Prasad for PERSON and Bhagwan Valmiki Tirath Sthal .
Amarinder Singh	TOI	Addressing a gathering after distributing Farm-Debt waiver certificates at his ancestral village , Mehraj , Amarindersingh said influential politicians and officials would also be taken to task if they were found involved in cases of sacrilege and police firing the arrest of the former SSP turned into a talking point at the event .
Amarinder Singh	TOI	Capt Amarindersingh , who met Congress president PERSON earlier in the day , said prime minister Narendra Modis allegations on the Punjab governments loan waiver scheme were completely incorrect .
Amarinder Singh	TOI	On claims that names of many farmers have not figured in waiver lists , Amarindersingh said names of only those had not been figured in the lists where some anomalies in names were there and the farmers should approach authorities concerned for corrections and waiver would be provided to the deserving farmers .
Amarinder Singh	TOI	After being the nation 's food bowl for almost four decades , captain Amarindersingh said that time has come to move beyond agriculture .
Amarinder Singh	TOI	In a press statement , Amarindersingh said he trashed Sukhbirs comments on the loan waiver announced by the Congress in Punjab and other states as political theatrics .
Amarinder Singh	TOI	Slamming him for trying to exploit the sentiments of the farmers , to whom the former regime had failed to deliver even an iota of benefits , Capt Amarindersingh said the former deputy cm was trying to mislead the farming community in a desperate bid to wean it away from the Congress .
Amarinder Singh	TOI	PERSON : after being the countrys food bowl for four decades , time has come for Punjab to move beyond agriculture , says chief minister captain PERSON speaking at toi event PERSON : the next big it hub here on Tuesday , the CM said that agriculture had its place in the economy but there was a need to explore the other avenues as well for creating job opportunities in Punjab .
Amarinder Singh	DecH	Punjab chief minister Amarindersingh said , when farmers , who feed the nation , are forced to take to streets to draw attention to their pitiable condition , then it does not augur well for the country .
Amarinder Singh	NIE	On the issue of agricultural debt relief , while his government had already announced a package of RS 8000 crores for over ten lakh small and marginal farming households , there was need for a comprehensive package and assistance from the centre , said Amarindersingh , urging for a one-time debt waiver to help out the farming community .
Amarinder Singh	NIE	Contrary to what the Badals are trying to project with their misleading propaganda , the fact is that Capt Amarindersingh has categorically said the debts of farmers in Punjab will be waived off once he comes to power , the PERSON leaders said .
Amarinder Singh	NIE	In Punjab 's context , Amarindersingh said the agriculture sector , which was largely dependent on cash transactions , had been hit hard , along with the informal sector .
Amarinder Singh	NIE	Pointing out that 10 lakh acres of land , farmed by 2 lakh farmer families and supported by another 2 lakh agricultural labourers depended on agriculture in Punjab , Amarindersingh said implementation of the PERSON verdict would finish them all .
Amarinder Singh	NIE	Captain PERSON , who was part of the Congress delegation led by Partys national vice president PERSON , said farmers , burdened with loans , were committing suicide in Punjab and other parts of the country .
Amarinder Singh	NIE	Reacting to union finance minister PERSON claim that the Post-Demonetisation situation in the country would stabilise in another two to three weeks , Amarindersingh said he did not see the situation improving even in the next one year .
Amarinder Singh	NIE	Though high yielding maize hybrids , coupled with increase in area under maize cultivation , holds great promise , the same is not viable for the farmers in the absence of assured procurement at MSP , said captain Amarindersingh , seeking financial support from the centre for farmers compelled to sell their maize produce at a price lower than the MSP .
Amarinder Singh	NIE	Assuring that his government was duty-bound to fulfill every promise made to the people in its election manifesto , Amarindersingh said the state had approached the union government for the loan waiver .
Amarinder Singh	NIE	While welcoming former AAP leader Dr PERSON in the party , Amarindersingh said , `` he wanted to fight the chief minister on his home turf of PERSON as he wanted to defeat all the top Akali leaders responsible for destroying the state through their drugs , Mafia and Goonda Raj , and guilty of ruining its trade , industry and agriculture .
Amarinder Singh	NIE	Punjab Congress president captain Amarindersingh says the RBI orders prohibiting cooperative banks from Exchanging/Accepting old RS 500 and RS 1,000 notes are to blame for the state of affairs in rural Punjab .
Amarinder Singh	NIE	Chandigarh : Punjab Congress president PERSON on Sunday said the party will move the court over the Demonetisation related deaths , even as he extended his full support to the proposed strike by the industries over the issue on December 16 .
Amarinder Singh	NIE	Extending his support to the Chamber of industrial and commercial undertakings ( PERSON ) , PERSON , Amarindersingh said the impact of Demonetisation on the States industries , already in the doldrums because of the Badal governments antagonistic policies , had been devastating .
Amarinder Singh	NIE	The mounting farm debts was making the agriculture in Punjab increasingly unsustainable , endangering not only the food security of the nation but also the social fabric of this sensitive border state , said Amarindersingh , citing the pioneering role of Punjab in the production of foodgrain and thereby in national food security .
Amarinder Singh	HT	Our government has made it clear that no bank will initiate Kurki of farmers property to recover the outstanding debt , Amarindersingh told the house .
Amarinder Singh	HT	Later , talking to media persons , Amarindersingh said the state government will compensate the farmers if the centre does not meet their demand for withdrawal of value cut on the minimum support price ( MSP ) in the procurement of wheat due to damage to crops by unseasonal rain .
Amarinder Singh	HT	The Bjp-Led government at the centre has been meting out Step-Motherly treatment to Punjabs farmers in a bid to undermine the Congress government in the state , said Amarindersingh , citing the centres decision to divert gunny bags to Haryana and imposition of value cut on PERSON for the wheat procured under the relaxed specifications in the state during the Rabi season in 2019-20 .
Amarinder Singh	HT	In a letter to the PM , Amarindersingh said the total farm debt in Punjab is more than RS 80,000 crore , including the crop loans of RS 12,500 in the cooperative sector .
Amarinder Singh	HT	Asked about farm loan waiver , a key Pre-Poll promise of the Punjab Congress , Amarindersingh said he was fully committed to implementing the same and would ensure that adequate funds are released for it .
Amarinder Singh	HT	Captain PERSON says , NRI money has come in despite Demonetisation through some channels , but , I am more concerned with the ideology of the extreme left and the Khalistanis who are supporting the AAP .
Amarinder Singh	HT	During the meeting held at the Punjab Bhawan here , cm Amarindersingh said officials should make all-out efforts to ensure timely and full procurement of every single grain from farmers , who had suffered a harrowing time last year due to an ill-conceived agricultural policy of the erstwhile Sad-Bjp government .
Amarinder Singh	HT	This is my assurance to you ( farmers ) , Amarindersingh said .
Amarinder Singh	HT	A day after four militants were killed in Kashmir , Punjab Congress chief captain Amarindersingh on Monday said despite the Narendra Modi governments claims , note ban has failed to check flow of terrorists and fake currency from Pakistan .
Amarinder Singh	HT	In a statement issued here , Amarindersingh said Sundays encounter in Kashmir and reports of Pakistan pushing fake RS 2,000 currency into India via Bangladesh were proof that the ill-conceived note ban decision was not helping curb terror as claimed by PERSON .
Amarinder Singh	HT	Apart from continuing incursions from across the border , there was sufficient ground to believe that black money remained a serious concern despite a 86 old currency getting frozen overnight following the Demonetisation , said Amarindersingh , citing reports of frequent seizures of large sums of unaccounted for , new currency .
Amarinder Singh	HT	Its better late than never , said the PERSON in March , Amarindersingh announced waiver of the state governments 50 share in the GST on Langar at the Golden Temple , PERSON temple , PERSON Valmiki Tirath and key shrines of the other communities .
Amarinder Singh	HT	Punjab chief minister PERSON on Saturday said he is committed to farm loan waiver and his government would soon find ways and means to bail out the debt-ridden farmers -- with or without the centres aid .
Amarinder Singh	HT	However , the Badals , with their selective memory , had conveniently forgotten about this fact while accusing me of cheating the farmers on the debt waiver issue , Amarindersingh said , adding that the Akali leaders should check out the facts before making such unsubstantiated statements .
Amarinder Singh	HT	Interacting with the IIT students , Amarindersingh said he has directed the state administration to make their boarding and lodging arrangements at the Punjab Bhawan and PERSON in Chandigarh till the time Institute is closed .
Amarinder Singh	HT	Chief minister PERSON on Monday said the state government will allow the farmers in Punjab to sow paddy a week before the scheduled date of June 20 , as part of a string of sops he announced to woo the farming community .
Amarinder Singh	HT	Pointing out that a special crop loss assessment report was already being prepared to assess crop damage due to rain , Amarindersingh said losses due to fire caused by any other reason will be compensated from the CMS relief fund .
Amarinder Singh	IE	Punjab chief minister PERSON ( Pti/File ) Punjab chief minister PERSON ( Pti/File ) Punjab chief minister captain PERSON on Friday said his government would soon announce its decision on farm debt waiver based on the recommendations of the T Haq expert committee , which is scheduled to submit its report shortly .
Amarinder Singh	IE	In response to a question , Amarindersingh said his government , which had inherited a bankrupt Punjab , had made a good start with the farm loan waiver and employment generation schemes .
Amarinder Singh	IE	Interacting with farmers during PERSON , a programme of PERSON , in Faridkot , Amarindersingh said : white is unlucky for Punjab .
Amarinder Singh	IE	Though high yielding maize hybrids , coupled with increase in area under maize cultivation , holds great promise , the same is not viable for the farmers in the absence of assured procurement at MSP , said captain Amarindersingh , seeking financial support from the centre for farmers compelled to sell their maize produce at a price lower than the MSP .
Amarinder Singh	IE	We will not let a factory ( power plant ) come up here until and unless farmers are paid compensation as per the coming PERSON of parliament , Amarindersingh said , while accusing Badals of speeding up the acquisitions for personal gains .
Amarinder Singh	IE	When a minister entrusted with the welfare of the farmers can not relate to their problems and is absolutely indifferent to their plight , one can well imagine which way the country is headed , Amarindersingh said .
Amarinder Singh	IE	Questioning the centres intent to rescue the beleaguered farmers , Amarindersingh asked , if a bankrupt state like Punjab could do its bit for a loan waiver , why could the centre not come up with a waiver scheme ?
Amarinder Singh	IE	Whatever the reasons and the circumstances , the GST should have been allowed to be introduced in parliament in the monsoon session to facilitate the way for its eventual passage , Amarindersingh said in a statement on Friday .
Amarinder Singh	IE	However , the Badals , with their selective memory , had conveniently forgotten about this fact while accusing me of cheating the farmers on the debt waiver issue , Amarindersingh said , adding that the Akali leaders should check out the facts before making such unsubstantiated statements .
Amarinder Singh	IE	The Badal father-son duo seems to be suffering from selective hearing and amnesia , said Amarindersingh on Friday , reacting to the Badals allegation that he had backtracked on his farm loan waiver promise .
Amarinder Singh	IE	Punjab cm captain PERSON ( file photo ) Punjab cm captain PERSON ( file photo ) the state level bankers committee of Punjab Friday said the delay in rolling out the farm debt waiver to farmers having accounts in commercial banks was affecting recoveries of commercial banks and had also turned nearly 80 per cent farmers into non-performing assets ( PERSON ) .
Amarinder Singh	IE	Admitting that it was not enough , Amarindersingh said total farm loan was RS 60,000 crore and Punjab can not pay this much .
Amarinder Singh	IE	( source : file photo ) Punjab Congress chief PERSON said on Saturday that if his party is voted to power in the 2017 assembly elections , it will work out a permanent solution for settling the farm debt so that no farmer is forced to take extreme steps like suicide .
Amarinder Singh	IE	I know it is a difficult task , but I have taken it as a challenge because we cant keep on watching our farmers kill themselves without doing anything , Amarindersingh said , adding , it is a tragedy that those who fed the whole nation are being left to die in debt and we need to do something .
Amarinder Singh	IE	On the cooperative departments appeal to the government to expedite the loan waiver , Amarindersingh said the commission set up by his government to ascertain the quantum of farm loans in the state and to work out the modalities for their waiver would soon come out with its recommendations in Thematter .
Amarinder Singh	IE	The commission set up to ascertain the farm debt quantum and to work out modalities for its waiver was expected to come out with its report soon , to pave the way for total waiver of the farmers loans , to which he was personally committed , Amarindersingh said .
Amit Shah	NIE	Bharataiya Janata Party president Amitshah said on Friday that the Demonetisation has not affected the common people and only some politicians .
Amit Shah	DecH	Modi government will tackle black money issue : PERSON Delhi , may 26 , 2015 , ( Ians ) 11:23 Istthe Narendra Modi-Led central government is determined to tackle the black money issue , BJP president PERSON said here on Tuesday .
Amit Shah	DecH	The Modi government is determined to tackle the black money issue , said Amitshah while addressing the media on the completion of one year of NDA government .
Arun Jaitley	NIE	On relief measures for the middle class , PERSON said that in the last five years , not a single tax has been increased , GST has been brought down on most commodities , and income tax relief has been provided .
Arun Jaitley	NIE	Union finance minister PERSON has said that the government 's decision will move the country towards a cashless economy .
Arun Jaitley	NIE	Reassuring the people that those having lawful money would have nothing to fear , Arunjaitley said this is a major setback to the parallel black money economy because a lot of currency operating outside the system will now have to be brought into the banking system .
Arun Jaitley	NIE	Bengaluru : the goods and services tax , to be rolled out in just over a month , will not only check evasions but also help India evolve as a more Tax-Compliant society , finance minister PERSON said here on Monday .
Arun Jaitley	NIE	Beyond that as the central government , I have nothing to say , PERSON told reporters when asked if the centre will help states on the issue of farm loan waivers .
Arun Jaitley	NIE	The then finance minister PERSON had told PERSON in response to a question on December 18 , 2018 that according to information available three officials of state bank of India and one of its customers died during the period of Demonetisation .
Arun Jaitley	NIE	By Ptinew Delhi : finance minister PERSON today said the states are not in favour of including petrol and diesel into GST at the moment , ruling out any immediate PERSON of the new indirect tax on these petroleum products .
Arun Jaitley	NIE	But I am sure as the GST experience moves on , I think , natural gas , real estate -- these are areas which are to be brought in and then probably at some stage we will keep trying for petrol , diesel and potable alcohol , PERSON said .
Arun Jaitley	NIE	New Delhi : finance minister PERSON on Tuesday said small traders and businesses will get a tax advantage of more than 30 per cent for digital transactions .
Arun Jaitley	NIE	Finance Minister PERSON said the taxpayers with an aggregate turnover of RS 40 lakh would now be exempted from the GST .
Arun Jaitley	NIE	As revenue secretary , Adhia 's term witnessed the introduction of a nationwide indirect tax PERSON , evolving a Centre-States consensus on the multiple GST laws and drafting the rules and fixing tariffs that made it possible to meet the deadline of July 1 , 2017 for the GST roll-out , PERSON said .
Arun Jaitley	NIE	Finance Minister PERSON said there is constitutional compulsion to roll out GST by September 16 , 2017 .
Arun Jaitley	NIE	New Delhi : asserting that hard cash in India would become obsolete in the near future , Union finance minister PERSON on Monday said that digital payments like e-wallet system and mobile banking would rule the roost which would immensely benefit the people .
Arun Jaitley	NIE	Digital payments are the future of financial transactions , PERSON said at the Punjab National Bank app launching ceremony held here .
Arun Jaitley	NIE	Responding to a question of the power of the comptroller and audit general under GST , PERSON said , CAG is already empowered to seek clarification from the state under CAG act , the issue did come up and it was agreed that since the law exists there is no need to for separate laws .
Arun Jaitley	NIE	By Ptinew Delhi : finance minister PERSON today said the goods and service tax ( GST ) has stabilised in a very short time that provides an opportunity to widen its base and further rationalise the rates in the future .
Arun Jaitley	NIE	After the government 's decision of withdrawing RS . 500 and RS . 1,000 banknotes to curb black money , corruption and counterfeit currency , PERSON said that Higher-Denomination currency notes have to be deposited in bank accounts to get newer or smaller denomination currencies .
Arun Jaitley	NIE	Obviously there is some inconvenience for a couple of days or a couple of weeks , but that can not be an alibi that India continues to live ( with black money and parallel economy ) , PERSON said .
Arun Jaitley	NIE	By Ptinew Delhi : finance minister PERSON on Friday said the number of income taxpayers can double to almost 12 crore with increased Formalisation of the economy .
Arun Jaitley	NIE	Vijayawada/Hyderabad : with parliament passing the GST bill in the Just-Concluded session , Union finance minister PERSON has now asked PERSON and Telangana to ensure its early ratification .
Arun Jaitley	NIE	Further , GST will broaden the tax base , and result in better tax compliance due to a robust it infrastructure , PERSON said .
Arun Jaitley	NIE	New Delhi : the Reserve Bank was fully prepared to deal with currency shortages post Demonetisation and has enough currency in its chests to last far beyond December 30 , finance minister PERSON said today .
Arun Jaitley	NIE	Pointing out that a few days ago the finance minister PERSON had said the economic decline had nothing to do with Demonetisation , Rahul said the entire world is saying the Demonetisation has wrecked Indian economy .
Arun Jaitley	NIE	Buttressing his point , Arunjaitley said that the services and financial sectors , which normally grow at around 9-10 per cent , had a fall in growth even before Demonetisation was announced .
Arun Jaitley	NIE	In this context , PERSON said Demonetisation has created a new normal replacing the old order of cash and parallel economy , which has been eliminated .
Arun Jaitley	NIE	The council will meet again on January 3-4 and will discuss the contentious issue of Cross-Empowerment , the only main issue that is lacking consensus , said finance minister PERSON adding that the next session will also see the PERSON and Sgst laws being framed in legal language and placed before the States .
Arun Jaitley	NIE	So , if I were to list the residual issues left for the next meeting , then they are the interstate GST law , the issues of dual control and cross empowerment , and the approval of the legally vetted language , PERSON said .
Arun Jaitley	NIE	When asked whether the GST could be rolled out from April one , 2017 , PERSON said , I am trying my best .
Arun Jaitley	NIE	The rates would be the big item to discuss and after that we will go on to draft rules of GST law , said PERSON , adding that the discussion was inconclusive and therefore it will continue in the next meeting on 18th ( October ) .
Arun Jaitley	NIE	On the timing of GST implementation , PERSON said the government could not have postponed it as there was a constitutional deadline .
Arun Jaitley	NIE	The GST council has reduced tax rates of 66 items as against representations received for 133 items , finance minister PERSON told reporters here after the 16th meeting of the GST Council .
Arun Jaitley	NIE	New Delhi : pinning hopes on quick resolution of the difficult issue of tax jurisdiction with states , finance minister PERSON today said that goods and services tax regime will be rolled out from April next year .
Arun Jaitley	NIE	Finance Minister PERSON today in his talk on note ban to NDTV said that security printing of currency is a time-consuming exercise , however , PERSON is calibrating release of currency .
Arun Jaitley	NIE	PERSON has to be implemented latest by September 16 , 2017 , and if it is not implemented by then , then states will not be able to collect their share of taxes , and hence there is not enough scope to further delay the decision , PERSON said while inaugurating the two-day economic editors conference , so far the government has been successful to resolve most of the major issues through consensus , PERSON said , adding we have already sorted out 10 issues .
Arun Jaitley	NIE	There is no proposal currently to make the use of Aadhaar mandatory under the scheme , finance minister PERSON said in a written reply in PERSON on February 2 .
Arun Jaitley	NIE	By Ptinew Delhi : buoyed by GST collections exceeding RS 1 lakh crore in April , finance minister PERSON today said it is a landmark achievement and a confirmation of increased economic activity .
Arun Jaitley	NIE	PERSON collections in April exceeding RS 1 lakh crore is a landmark achievement and a confirmation of increased economic activity as brought out by other reports , PERSON said in a Tweet .
Arun Jaitley	NIE	Union finance minister PERSON told the BJP MPs that the Demonetisation would help India embrace digital economy .
Arun Jaitley	NIE	3 , PERSON told reporters , but did not clarify whether the country could meet the self-imposed deadline of April 1 for the launch of goods and services tax , the country 's most ambitious tax reform as yet .
Arun Jaitley	NIE	Bengaluru : the goods and services tax , to be rolled out in just over a month , will not only check evasions but also help India evolve as a more Tax-Compliant society , finance minister PERSON said today .
Arun Jaitley	NIE	Bhubaneswar : Union finance minister PERSON on Thursday said prime minister PERSON has created a 'New normal ' for the country 's economy by breaking all the stereotypes of the past through his Demonetisation move .
Arun Jaitley	NIE	Now there will be less cash transaction and increase in digital currency , Arunjaitley said to a gathering of intellectuals .
Arun Jaitley	NIE	Speaking on Indian economy : the new normal in the aftermath of Demonetisation , Arunjaitley said for the first time such a decision came which was difficult to implement because one has to confront with many challenges .
Arun Jaitley	NIE	PERSON said finance minister PERSON had recently said economic decline had nothing to do with the Demonetisation .
Arun Jaitley	NIE	Finance Minister PERSON could announce tax incentives for individuals and firms to boost consumer demand , amid lingering uncertainty over the implementation of a nationwide goods and services tax , said one of the officials .
Arun Jaitley	NIE	| PERSON : India will offer tax incentives to small businesses engaged in cashless transactions , finance minister PERSON told reporters on Tuesday , as part of the government 's fight against the cash economy .
Arun Jaitley	NIE	In a Facebook post titled 'Benefits of the Aadhaar - where it stands today ' , PERSON said its use in the delivery of subsidies has helped saved RS 90,000 crore in the last few years till March 2018 by eliminating several duplicates , non-existent and fake beneficiaries .
Arun Jaitley	NIE	Aadhaar is a game changer , PERSON said .
Arun Jaitley	NIE	The monies saved through Aadhaar is money fruitfully employed for the poor elsewhere , PERSON said .
Arun Jaitley	NIE	The upa legislation , PERSON said , was inadequate as it did not contain adequate safeguards on privacy and did not mention for which purpose the UID would be used .
Arun Jaitley	NIE	The judgement of the Supreme Court added balance to the concept of Aadhaar , PERSON said .
Arun Jaitley	NIE	While acknowledging that the cash crunch would only ease post December 30 , PERSON said that the amount of cash to be issued in the form of new 500 and 2,000 rupee notes would not be the same as the amount circulating before November 8 , when Prime Minister PERSON announced the so-called Demonetisation .
Arun Jaitley	NIE	By Ptinew Delhi : finance minister PERSON today said it is not possible to have one GST rate as the country has vast disparities , but assured investors that government will undertake further reforms after improvement in tax compliance standards .
Arun Jaitley	NIE	On the compliance burden of the GST , PERSON said it was a little heavy but the process would ease on account of the initiatives being undertaken by the revenue department .
Arun Jaitley	NIE	Wheat , rice , sugar ca n't be taxed at the same rate as a Mercedes car or a yacht or tobacco , finance minister PERSON had said while ruling out the possibility of a single GST rate .
Arun Jaitley	NIE	On the recalibration of ATMs for dispensing new design currency notes , PERSON said , it would take two to three weeks , since the present machines are designed to dispense only RS 100 , RS 500 and RS 1,000 notes .
Arun Jaitley	NIE	In remarks apparently aimed at former Reserve Bank governor PERSON , who Friday blamed the goods and services tax roll-out along with Demonetisation for lower GDP growth , PERSON said the economy recovered fast from the limited Disruptionist impact of the tax reform .
Arun Jaitley	NIE	Within the first year of GST implementation , PERSON said the number of people who registered for GST has gone up by 74 per cent and government has also been able to bring down tax rates for as many as 334 commodities than previous levels .
Arun Jaitley	NIE	By Ptinew Delhi : going forward , as tax revenues significantly increase , India will have GST slabs of 0 per cent , 5 per cent and a standard rate between 12-18 per cent for commonly-used items , finance minister PERSON said Monday .
Arun Jaitley	NIE	In a Facebook post titled 'Eighteen months of GST ' , PERSON said , of the 1,216 commodities which are used , broadly 183 are taxed at zero rates , 308 at 5 per cent , 178 at 12 per cent and 517 at 18 per cent .
Arun Jaitley	NIE	The country should eventually have a GST which will have only slabs of zero , 5 per cent and standard rate with luxury and sin goods as an exception , PERSON said .
Arun Jaitley	NIE	PERSON efforts on the GST rollout , PERSON said in his blog that it was his efforts supported by his team of officers of centre and state governments , which made it possible to hit the deadline of July 1 , 2017 .
Arun Jaitley	NIE	Those who did not consider the generation of so much black money and scams during their regime as blunder are now finding the crusade against black money as blunder , PERSON said .
Arun Jaitley	NIE	Stressing that Demonetisation decision will have a positive impact on the economy , PERSON said , this ( the move ) will have positive impact as far as the medium and long terms are concerned .
Arun Jaitley	NIE	I will still keep my fingers crossed , PERSON told media persons after the GST council meet here .
Arun Jaitley	NIE	Washington : India continues to be the fastest-growing major economy in the world and its growth will accelerate further due to factors like the implementation of GST , finance minister PERSON said .
Arun Jaitley	NIE	Talking about the new indirect tax regime , Arunjaitley said the government is fully on course to implement the goods and services tax ( GST ) by July 1 .
Arun Jaitley	NIE	New Delhi : issuing a veiled warning , finance minister PERSON today said one can not convert black money into white by merely depositing unaccounted cash in bank accounts as taxes are required to be paid on them .
Arun Jaitley	NIE	In a Facebook post on the second anniversary of Demonetisation , Arunjaitley said in first four years of the National Democratic Alliance ( NDA ) government , the number of income tax returns filers has gone up to 6 .
Arun Jaitley	NIE	Special : experience the first 50 days after Demonetisation through 50 exclusive stories from Tnieterming the criticism , that almost the entire cash got deposited in the banks post Demonetisation , as ill-informed , PERSON said confiscation of currency was not an objective of Demonetisation .
Arun Jaitley	NIE	New Delhi : finance minister PERSON on Tuesday said that axis bank management has assured the government that it is taking action against the erring officials who are suspected to be involved in irregularities post Demonetisation .
Arun Jaitley	DecH	New Delhi , Aug 8 , 2016 , ( PTI ) 18:09 Istimplementation of the goods and services tax ( GST ) will reduce tax evasion and improve ease of doing business by engendering a common market throughout the country , finance minister PERSON said today as he moved the modified constitution amendment bill in PERSON .
Arun Jaitley	DecH	On the vexed question of GST rate which may have implications for inflation , PERSON said it would be decided by the GST Council , which will comprise representatives of centre and states .
Arun Jaitley	DecH	Simultaneously the GST council will work on the functional modalities for implementation such that same person is not assessed by both centre and states , PERSON said .
Arun Jaitley	DecH	However , finance minister PERSON said the PERSON response should not be seen in isolation as it was introduced after the income disclosure scheme ( IDs ) and Demonetisation exercise were carried out in the previous fiscal .
Arun Jaitley	DecH	Recently , finance minister PERSON had said that all efforts are being made to bring to book those who have been named in the HSBC bank list of black money holders and there are evidence against them .
Arun Jaitley	DecH	Finance Minister PERSON said the capping of CESs was done at a higher rate only to give the goods and services tax council more headroom in the future if there was a need to increase them .
Arun Jaitley	DecH	As per the constitutional allocation of powers , the central government has no jurisdiction to impose tax on agricultural income , Arunjaitley said in a statement .
Arun Jaitley	DecH	Finance Minister PERSON in his budget speech had announced that the government would come out with a new law to effectively deal with the black money stashed abroad .
Arun Jaitley	DecH	On the goods and service tax ( GST ) bill , PERSON said the Congress was dissenting on their own bill .
Arun Jaitley	DecH	Finance Minister PERSON has said that the fitment will begin immediately after the March 31 , GST council meeting which will pass the last bunch of rules required for the roll out .
Arun Jaitley	DecH	New Delhi , Mar 29 , 2017 , ( PTI ) 14:08 Istallaying apprehension of spike in prices of goods and commodities after the roll out of the GST , finance minister PERSON today said the tax rates will be kept at the current levels so as not to have any inflationary impact .
Arun Jaitley	DecH	Introducing four bills to give effect to the goods and services tax ( GST ) , PERSON said the legislations will have to be passed by parliament and one by each of the state assemblies to turn India into one market with a single tax rate .
Arun Jaitley	DecH	Dubai , Nov 16 , 2015 ( PTI ) 19:08 Istfinance minister PERSON today said the government would make all efforts to persuade the opposition for the passage of constitution amendment bill for implementation of GST in the winter session .
